,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
0,Patrick Corbin,WSH,SP,MIA at WSH,5.5,6.5,0.5238095238095238,0.6062992125984252,(-110),(-154),2021-05-01
1,Jameson Taillon,CHC,SP,DET at NYY,6.5,6.5,0.44642857142857145,0.5555555555555556,(+124),(-125),2021-05-01
2,Spencer Turnbull,FA,SP,DET at NYY,6.5,6.5,0.38461538461538464,0.6774193548387096,(+160),(-210),2021-05-01
3,Danny Duffy,TEX,"SP,RP",KC at MIN,5.5,5.5,0.5098039215686274,0.5495495495495496,(-104),(-122),2021-05-01
4,Lance Lynn,STL,SP,CLE at CWS,6.5,6.5,0.5652173913043478,0.4878048780487805,(-130),(+105),2021-05-01
5,Triston Mckenzie P,CLE,SP,CLE at CWS,5.5,5.5,0.504950495049505,0.4878048780487805,(-102),(+105),2021-05-01
6,Jesus Luzardo,MIA,SP,BAL at OAK,6.5,6.5,0.4807692307692308,0.5454545454545454,(+108),(-120),2021-05-01
7,Luis Castillo,SEA,SP,CHC at CIN,6.5,6.5,0.504950495049505,0.5260663507109005,(-102),(-111),2021-05-01
8,Zach Davies,FA,SP,CHC at CIN,3.5,4.5,0.6062992125984252,0.6503496503496503,(-154),(-186),2021-05-01
9,Jose Urquidy,HOU,"SP,RP",HOU at TB,5.5,5.5,0.4424778761061947,0.6153846153846154,(+126),(-160),2021-05-01
10,Zack Wheeler,PHI,SP,NYM at PHI,6.5,6.5,0.5412844036697247,0.47619047619047616,(-118),(+110),2021-05-01
11,Taijuan Walker,PHI,SP,NYM at PHI,5.5,5.5,0.5370370370370371,0.5238095238095238,(-116),(-110),2021-05-01
12,Jack Flaherty,DET,SP,STL at PIT,6.5,6.5,0.4672897196261682,0.5708154506437768,(+114),(-133),2021-05-01
13,Trevor Cahill,FA,SP,STL at PIT,4.5,5.5,0.5983935742971888,0.6825396825396826,(-149),(-215),2021-05-01
14,Jordan Lyles,KC,SP,BOS at TEX,4.5,5.5,0.5815899581589958,0.696969696969697,(-139),(-230),2021-05-01
15,Eduardo Rodriguez,ARI,SP,BOS at TEX,7.5,7.5,0.46511627906976744,0.5614035087719298,(+115),(-128),2021-05-01
16,Brandon Woodruff,FA,SP,LAD at MIL,6.5,7.5,0.5454545454545454,0.5867768595041323,(-120),(-142),2021-05-01
17,Dustin May,LAD,SP,LAD at MIL,5.5,6.5,0.5555555555555556,0.6268656716417911,(-125),(-168),2021-05-01
18,Charlie Morton,ATL,SP,ATL at TOR,5.5,5.5,0.5283018867924528,0.5283018867924528,(-112),(-112),2021-05-01
19,Austin Gomber,COL,SP,COL at ARI,5.5,5.5,0.45454545454545453,0.5614035087719298,(+120),(-128),2021-05-01
20,Zac Gallen,ARI,SP,COL at ARI,6.5,7.5,0.5815899581589958,0.6774193548387096,(-139),(-210),2021-05-01
21,Max Scherzer,TEX,SP,MIA at WSH,8.5,9.5,0.6062992125984252,0.5689655172413793,(-154),(-132),2021-05-02
22,Trevor Rogers,MIA,SP,MIA at WSH,6.5,6.5,0.5689655172413793,0.4878048780487805,(-132),(+105),2021-05-02
23,Jose Urena,TEX,SP,DET at NYY,4.5,4.5,0.42735042735042733,0.5614035087719298,(+134),(-128),2021-05-02
24,Corey Kluber,FA,"RP,SP",DET at NYY,5.5,6.5,0.6062992125984252,0.6,(-154),(-150),2021-05-02
25,Carlos Martinez,FA,SP,STL at PIT,4.5,4.5,0.43478260869565216,0.6124031007751938,(+130),(-158),2021-05-02
26,Ian Anderson,ATL,SP,ATL at TOR,5.5,5.5,0.5412844036697247,0.5192307692307693,(-118),(-108),2021-05-02
27,Tyler Mahle,TEX,SP,CHC at CIN,6.5,7.5,0.5815899581589958,0.5798319327731093,(-139),(-138),2021-05-02
28,Trevor Williams,WSH,SP,CHC at CIN,4.5,4.5,0.5283018867924528,0.5260663507109005,(-112),(-111),2021-05-02
29,Cristian Javier,HOU,SP,HOU at TB,5.5,6.5,0.5708154506437768,0.5798319327731093,(-133),(-138),2021-05-02
30,Brad Keller,FA,"SP,RP",KC at MIN,3.5,4.5,0.5348837209302325,0.6825396825396826,(-115),(-215),2021-05-02
31,Jose Berrios,TOR,SP,KC at MIN,5.5,5.5,0.49019607843137253,0.5555555555555556,(+104),(-125),2021-05-02
32,Julio Urias,FA,SP,LAD at MIL,6.5,6.5,0.4672897196261682,0.5901639344262295,(+114),(-144),2021-05-02
33,Zach Plesac,LAA,SP,CLE at CWS,5.5,5.5,0.45454545454545453,0.576271186440678,(+120),(-136),2021-05-02
34,Lucas Giolito,BOS,SP,CLE at CWS,6.5,7.5,0.5614035087719298,0.609375,(-128),(-156),2021-05-02
35,Garrett Richards,FA,RP,BOS at TEX,5.5,5.5,0.45454545454545453,0.6,(+120),(-150),2021-05-02
36,Michael Foltynewicz,FA,SP,BOS at TEX,4.5,5.5,0.6254681647940075,0.5833333333333334,(-167),(-140),2021-05-02
37,Bruce Zimmerman,BAL,RP,BAL at OAK,4.5,4.5,0.3875968992248062,0.5614035087719298,(+158),(-128),2021-05-02
38,Sean Manaea,NYM,"SP,RP",BAL at OAK,5.5,5.5,0.4807692307692308,0.5708154506437768,(+108),(-133),2021-05-02
39,Kevin Gausman,TOR,SP,SF at SD,6.5,6.5,0.46296296296296297,0.5967741935483871,(+116),(-148),2021-05-02
40,Dylan Bundy,FA,SP,LAA at SEA,6.5,7.5,0.5614035087719298,0.6453900709219859,(-128),(-182),2021-05-02
41,Justus Sheffield,FA,"RP,SP",LAA at SEA,4.5,5.5,0.6062992125984252,0.6503496503496503,(-154),(-186),2021-05-02
42,Chi Chi Gonzalez,FA,"RP,SP",COL at ARI,3.5,3.5,0.5348837209302325,0.5238095238095238,(-115),(-110),2021-05-02
43,Merrill Kelly,ARI,SP,COL at ARI,5.5,5.5,0.5708154506437768,0.5,(-133),(EVEN),2021-05-02
44,David Peterson,NYM,"SP,RP",NYM at PHI,5.5,5.5,0.42735042735042733,0.6323529411764706,(+134),(-172),2021-05-02
45,Zach Eflin,TB,SP,NYM at PHI,5.5,5.5,0.43478260869565216,0.6062992125984252,(+130),(-154),2021-05-02
46,Adrian Houser,NYM,SP,MIL at PHI,4.5,4.5,0.4424778761061947,0.5708154506437768,(+126),(-133),2021-05-03
47,Vincent Velasquez,FA,"SP,RP",MIL at PHI,5.5,5.5,0.5614035087719298,0.5,(-128),(EVEN),2021-05-03
48,Kenta Maeda,DET,SP,TEX at MIN,6.5,6.5,0.4807692307692308,0.5798319327731093,(+108),(-138),2021-05-03
49,Dane Dunning,TEX,"SP,RP",TEX at MIN,3.5,3.5,0.6062992125984252,0.45454545454545453,(-154),(+120),2021-05-03
50,Adam Wainwright,FA,SP,NYM at STL,5.5,5.5,0.46296296296296297,0.5967741935483871,(+116),(-148),2021-05-03
51,Aaron Civale,TB,SP,CLE at KC,4.5,4.5,0.5260663507109005,0.5238095238095238,(-111),(-110),2021-05-03
52,Tyler Glasnow,LAD,SP,TB at LAA,7.5,7.5,0.5,0.5238095238095238,(EVEN),(-110),2021-05-03
53,Frankie Montas,CIN,"SP,RP",TOR at OAK,6.5,6.5,0.43478260869565216,0.6168582375478927,(+130),(-161),2021-05-03
54,Steven Matz,STL,"SP,RP",TOR at OAK,5.5,5.5,0.3333333333333333,0.5555555555555556,(+200),(-125),2021-05-03
55,Dean Kremer,BAL,SP,BAL at SEA,5.5,5.5,0.5,0.5412844036697247,(EVEN),(-118),2021-05-03
56,Miguel Diaz,DET,RP,PIT at SD,4.5,4.5,0.3875968992248062,0.6721311475409836,(+158),(-205),2021-05-03
57,Tyler Anderson,LAA,SP,PIT at SD,5.5,6.5,0.5121951219512195,0.7014925373134329,(-105),(-235),2021-05-03
58,Walker Buehler,LAD,SP,LAD at CHC,6.5,7.5,0.5555555555555556,0.6240601503759399,(-125),(-166),2021-05-04
59,Kyle Hendricks,CHC,SP,LAD at CHC,4.5,4.5,0.4878048780487805,0.5283018867924528,(+105),(-112),2021-05-04
60,Jeff Hoffman,PHI,RP,CWS at CIN,4.5,5.5,0.47619047619047616,0.7058823529411765,(+110),(-240),2021-05-04
61,Dylan Cease,CWS,SP,CWS at CIN,5.5,5.5,0.504950495049505,0.5412844036697247,(-102),(-118),2021-05-04
62,Sandy Alcantara,MIA,SP,ARI at MIA,5.5,5.5,0.5370370370370371,0.5238095238095238,(-116),(-110),2021-05-04
63,Riley Smith,FA,"SP,RP",ARI at MIA,4.5,4.5,0.42735042735042733,0.6323529411764706,(+134),(-172),2021-05-04
64,Zack Greinke,FA,SP,HOU at NYY,4.5,5.5,0.6168582375478927,0.5833333333333334,(-161),(-140),2021-05-04
65,Domingo German,FA,SP,HOU at NYY,4.5,5.5,0.588477366255144,0.6774193548387096,(-143),(-210),2021-05-04
66,Aaron Nola,PHI,SP,MIL at PHI,7.5,8.5,0.5614035087719298,0.5098039215686274,(-128),(-104),2021-05-04
67,Nick Pivetta,BOS,"SP,RP",DET at BOS,5.5,5.5,0.5614035087719298,0.4672897196261682,(-128),(+114),2021-05-04
68,Ja Happ,FA,SP,TEX at MIN,5.5,5.5,0.43859649122807015,0.6168582375478927,(+128),(-161),2021-05-04
69,Kyle Gibson,STL,SP,TEX at MIN,4.5,4.5,0.46511627906976744,0.5798319327731093,(+115),(-138),2021-05-04
70,Mike Minor,FA,SP,CLE at KC,4.5,5.5,0.6168582375478927,0.6240601503759399,(-161),(-166),2021-05-04
71,German Marquez,COL,SP,SF at COL,5.5,5.5,0.5,0.5614035087719298,(EVEN),(-128),2021-05-04
72,Alex Cobb,SF,SP,TB at LAA,5.5,5.5,0.45454545454545453,0.6168582375478927,(+120),(-161),2021-05-04
73,Shane Mcclanahan,TB,SP,TB at LAA,4.5,4.5,0.5145631067961165,0.5454545454545454,(-106),(-120),2021-05-04
74,Cole Irvin,BAL,"SP,RP",TOR at OAK,4.5,4.5,0.45871559633027525,0.5983935742971888,(+118),(-149),2021-05-04
75,Mitch Keller,PIT,SP,PIT at SD,4.5,4.5,0.5238095238095238,0.5370370370370371,(-110),(-116),2021-05-04
76,Ryan Weathers,MIA,SP,PIT at SD,4.5,4.5,0.5145631067961165,0.5495495495495496,(-106),(-122),2021-05-04
77,Jorge Lopez,NYM,RP,BAL at SEA,4.5,4.5,0.46511627906976744,0.5726495726495726,(+115),(-134),2021-05-04
78,Justin Dunn,FA,SP,BAL at SEA,5.5,5.5,0.4854368932038835,0.5708154506437768,(+106),(-133),2021-05-04
79,Dallas Keuchel,FA,SP,CWS at CIN,4.5,4.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2021-05-05
80,Sonny Gray,STL,SP,CWS at CIN,6.5,6.5,0.5555555555555556,0.45871559633027525,(-125),(+118),2021-05-05
81,Logan Webb,SF,SP,SF at COL,4.5,5.5,0.5555555555555556,0.7014925373134329,(-125),(-235),2021-05-05
82,Jonathan Gray,TEX,SP,SF at COL,4.5,5.5,0.5708154506437768,0.6268656716417911,(-133),(-168),2021-05-05
83,Yusei Kikuchi,TOR,SP,BAL at SEA,5.5,5.5,0.46296296296296297,0.5454545454545454,(+116),(-120),2021-05-05
84,John Means,BAL,SP,BAL at SEA,6.5,6.5,0.4807692307692308,0.5555555555555556,(+108),(-125),2021-05-05
85,Kwang Hyun Kim,FA,"SP,RP",NYM at STL,4.5,4.5,0.5412844036697247,0.5192307692307693,(-118),(-108),2021-05-05
86,Marcus Stroman,NYY,SP,NYM at STL,4.5,4.5,0.5726495726495726,0.4854368932038835,(-134),(+106),2021-05-05
87,Luke Weaver,NYY,SP,ARI at MIA,5.5,5.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2021-05-05
88,Erick Fedde,CWS,SP,ATL at WSH,4.5,4.5,0.46511627906976744,0.5098039215686274,(+115),(-104),2021-05-05
89,Max Fried,ATL,SP,ATL at WSH,5.5,5.5,0.3472222222222222,0.7142857142857143,(+188),(-250),2021-05-05
90,Freddy Peralta,MIL,SP,MIL at PHI,7.5,7.5,0.5348837209302325,0.5412844036697247,(-115),(-118),2021-05-05
91,Jordan Montgomery,FA,SP,HOU at NYY,4.5,4.5,0.5238095238095238,0.5370370370370371,(-110),(-116),2021-05-05
92,Luis Garcia P,HOU,SP,HOU at NYY,5.5,5.5,0.3787878787878788,0.6825396825396826,(+164),(-215),2021-05-05
93,Casey Mize,DET,SP,DET at BOS,4.5,4.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2021-05-05
94,Martin Perez,PIT,"SP,RP",DET at BOS,4.5,4.5,0.5652173913043478,0.49504950495049505,(-130),(+102),2021-05-05
95,Adbert Alzolay,CHC,RP,LAD at CHC,5.5,6.5,0.5983935742971888,0.6376811594202898,(-149),(-176),2021-05-05
96,Walker Buehler,LAD,SP,LAD at CHC,7.5,7.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-05-05
97,Jonathan Brubaker,PIT,SP,PIT at SD,5.5,5.5,0.46511627906976744,0.576271186440678,(+115),(-136),2021-05-05
98,Yu Darvish,SD,SP,PIT at SD,7.5,8.5,0.5983935742971888,0.5867768595041323,(-149),(-142),2021-05-05
99,Shane Bieber,CLE,SP,CLE at KC,9.5,9.5,0.5238095238095238,0.5370370370370371,(-110),(-116),2021-05-05
100,Brady Singer,KC,SP,CLE at KC,4.5,5.5,0.5983935742971888,0.5901639344262295,(-149),(-144),2021-05-05
101,Jacob Degrom,TEX,SP,NYM at STL,10.5,10.5,0.4716981132075472,0.5614035087719298,(+112),(-128),2021-05-05
102,Shohei Ohtani,LAD,"DH,SP",TB at LAA,6.5,6.5,0.5850622406639004,0.47619047619047616,(-141),(+110),2021-05-05
103,Chris Bassitt,TOR,SP,TOR at OAK,5.5,5.5,0.43103448275862066,0.6254681647940075,(+132),(-167),2021-05-05
104,Robbie Ray,SF,SP,TOR at OAK,6.5,6.5,0.5283018867924528,0.47619047619047616,(-112),(+110),2021-05-05
105,Lance Mccullers,HOU,SP,HOU at NYY,5.5,6.5,0.5983935742971888,0.6551724137931034,(-149),(-190),2021-05-06
106,Gerrit Cole,NYY,SP,HOU at NYY,8.5,8.5,0.4878048780487805,0.5412844036697247,(+105),(-118),2021-05-06
107,Brandon Woodruff,FA,SP,MIL at PHI,7.5,7.5,0.5098039215686274,0.5260663507109005,(-104),(-111),2021-05-06
108,Zack Wheeler,PHI,SP,MIL at PHI,6.5,7.5,0.5708154506437768,0.5652173913043478,(-133),(-130),2021-05-06
109,Spencer Turnbull,FA,SP,DET at BOS,4.5,5.5,0.5555555555555556,0.6503496503496503,(-125),(-186),2021-05-06
110,Nathan Eovaldi,TEX,SP,DET at BOS,6.5,6.5,0.4807692307692308,0.576271186440678,(+108),(-136),2021-05-06
111,Jordan Lyles,KC,SP,TEX at MIN,4.5,4.5,0.3546099290780142,0.7058823529411765,(+182),(-240),2021-05-06
112,Michael Pineda,FA,SP,TEX at MIN,5.5,5.5,0.5934959349593496,0.46296296296296297,(-146),(+116),2021-05-06
113,Taijuan Walker,PHI,SP,NYM at STL,4.5,4.5,0.6062992125984252,0.45045045045045046,(-154),(+122),2021-05-06
114,John Gant,FA,"SP,RP",NYM at STL,3.5,4.5,0.6254681647940075,0.5901639344262295,(-167),(-144),2021-05-06
